2021-05-02 05:07,Lady Gaga,Just Dance,896
2021-05-02 05:07,swimcoach,u U U U u U did i mfken stutter?,831
2021-05-02 05:07,Pop Smoke,Dior,789
2021-05-02 05:07,blackbear,playboy shit (feat. lil aaron),885
2021-05-02 05:07,CHUNG HA,Snapping,0
2021-05-02 05:07,Trey Songz,Bottoms Up (feat. Nicki Minaj),1685
2021-05-02 05:07,Himesh Reshammiya,Hookah Bar,0
2021-05-02 05:07,T-Pain,Up Down (Do This All Day) (feat. B.o.B),95114
2021-05-02 05:09,Nicki Minaj,Truffle Butter,102997
2021-05-02 05:10,Kanye West,Monster,95797
2021-05-02 05:57,One Direction,Perfect,4060
2021-05-02 06:03,Roop Kumar Rathod,Maula Mere Maula,364329
2021-05-02 06:04,CODE KUNST,Fire Water (Interlude),68491
2021-05-02 06:04,Raju Singh,Soniyo,5864
2021-05-02 06:06,CODE KUNST,Fire Water (Interlude),68491
2021-05-02 06:06,Raju Singh,Soniyo,6381
2021-05-02 06:07,CODE KUNST,Fire Water (Interlude),68491
2021-05-02 06:07,Raju Singh,Soniyo,9351
2021-05-02 06:08,CODE KUNST,Fire Water (Interlude),68491
2021-05-02 06:09,Raju Singh,Soniyo,6501
2021-05-02 07:35,SZA,The Other Side (from Trolls World Tour),11800
2021-05-03 17:39,Roop Kumar Rathod,Maula Mere Maula,4458
2021-05-03 17:39,BAEKHYUN,R U Ridin’?,5973
2021-05-03 17:42,Olivia Rodrigo,deja vu,215507
2021-05-03 17:51,Taylor Swift,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),277591
2021-05-03 17:57,cøzybøy,yøu løøked sø beautiful that night (falling før yøu again),234418
2021-05-03 18:00,Charlie Puth,Empty Cups,170946
2021-05-03 18:00,Sabrina Claudio,Stand Still,9326
2021-05-03 18:04,Years & Years,Desire - Gryffin Remix,268853
2021-05-03 18:09,Majid Jordan,Caught Up (feat. Khalid),247546
2021-05-03 18:12,KIM WOO SEOK,Sugar,183653
2021-05-03 18:15,MAMAMOO,25 (Solo WheeIn),202477
2021-05-03 18:18,Doja Cat,Kiss Me More (feat. SZA),208866
2021-05-03 18:21,Tinashe,Life's Too Short,191045
2021-05-03 20:57,Drake,Passionfruit,52744
2021-05-03 22:38,WOODZ,DIFFERENT,222769
2021-05-03 22:41,ONE,heyahe,185917
2021-05-03 22:45,Ariana Grande,in my head,222946
2021-05-03 22:48,Bryson Tiller,Exchange,194613
2021-05-03 22:52,Justin Bieber,Company,208120
2021-05-03 22:54,Rain,MAGNETIC (Feat. Jackson Wang),158840
2021-05-03 22:58,Doja Cat,Streets,226986
2021-05-03 23:01,Russ,3AM,200547
2021-05-03 23:04,Ariana Grande,boyfriend (with Social House),186106
2021-05-03 23:07,Kali Uchis,telepatía,160191
2021-05-03 23:10,Shawn Mendes,Teach Me How To Love,202356
2021-05-03 23:14,PRETTYMUCH,Phases,215759
2021-05-03 23:17,Doja Cat,Rules,187040
2021-05-03 23:20,Julia Michaels,What A Time (feat. Niall Horan),173306
2021-05-03 23:23,Wale,Lotus Flower Bomb (feat. Miguel),213253
2021-05-03 23:26,Kali Uchis,fue mejor,172594
2021-05-04 00:49,A.R. Rahman,Aye Udi Udi Udi,38186
2021-05-04 02:59,Kanye West,Monster,1555
2021-05-04 03:02,ITZY,In the morning,172358
2021-05-04 03:05,Tinashe,Player (feat. Chris Brown),201247
2021-05-04 03:09,In Love With a Ghost,Sorry for Not Answering the Phone I'm Too Busy Trying to Fly Away,22757
2021-05-04 03:12,ITZY,In the morning,172358
2021-05-04 03:12,Rixton,Hotel Ceiling,4745
2021-05-04 03:15,ITZY,In the morning,172358
2021-05-04 03:15,Rixton,Hotel Ceiling,7551
2021-05-04 03:18,ITZY,In the morning,172358
2021-05-04 03:18,Rixton,Hotel Ceiling,2996
2021-05-04 03:21,Fifth Harmony,Down (feat. Gucci Mane),1162
2021-05-04 03:21,Justin Timberlake,Not a Bad Thing,213407
2021-05-04 03:24,Alina Baraz,More Than Enough,151462
2021-05-04 17:40,Emma Stone,Someone In The Crowd,219405
2021-05-04 17:43,ITZY,In the morning,172358
2021-05-04 17:46,Drake,Time Flies,192931
2021-05-04 17:46,BTS,2nd Grade,24823
2021-05-04 17:49,ITZY,In the morning,172358
2021-05-04 17:52,ITZY,In the morning,172358
2021-05-04 17:55,ITZY,In the morning,172358
2021-05-04 18:21,ITZY,In the morning,128963
2021-05-04 20:33,SZA,The Other Side (from Trolls World Tour),37002
2021-05-04 20:52,The Weeknd,Starboy,230453
2021-05-04 21:12,Bryson Tiller,Sorrows,193702
2021-05-04 21:39,BAEKHYUN,R U Ridin’?,174506
2021-05-04 21:43,Chase Atlantic,Moonlight,124139
2021-05-05 03:01,BTS,FAKE LOVE - Japanese ver. / Remix,1890
2021-05-05 03:01,Jessie J,Price Tag,5130
2021-05-05 03:01,Olivia O'Brien,hate u love u,1600
2021-05-05 03:01,Chase Atlantic,LUST,197208
2021-05-05 03:04,Ariana Grande,everytime,172106
2021-05-05 03:07,88rising,Head In The Clouds,178022
2021-05-05 03:10,5 Seconds of Summer,Thin White Lies,182697
